Day,Date,Time,Latitude,Longitude,Depth,Magnitude,Quality,Location
Monday,25.03.2024,14:30:04,63.931,-21.826,6.7 km,1.6,99,8.9 km S of Helgafell
Monday,25.03.2024,19:19:47,63.884,-22.316,7.0 km,1.1,99,2.9 km SW of Fagradalsfjall
Monday,25.03.2024,20:50:25,63.884,-22.32,7.6 km,1,99,3.1 km SW of Fagradalsfjall
Monday,25.03.2024,21:15:33,63.929,-21.988,5.6 km,1.4,99,6.0 km NE of Krýsuvík
Monday,25.03.2024,21:15:48,63.927,-21.995,6.9 km,1.7,99,5.6 km NE of Krýsuvík
Monday,25.03.2024,21:43:41,63.924,-22.325,5.2 km,0.7,99,3.5 km NW of Fagradalsfjall
Tuesday,26.03.2024,00:02:58,63.894,-22.293,7.0 km,0.8,99,1.3 km SW of Fagradalsfjall
Tuesday,26.03.2024,02:02:34,63.975,-21.553,7.7 km,0.7,99,4.7 km ESE of Bláfjallaskáli
Tuesday,26.03.2024,02:50:11,63.96,-21.199,4.9 km,0.5,99,4.5 km S of Hveragerði
Tuesday,26.03.2024,02:56:03,64.118,-21.283,6.5 km,1,99,3.4 km NNE of Skeggi á Hengli
Tuesday,26.03.2024,03:19:24,63.957,-21.841,2.9 km,0.4,99,5.9 km S of Helgafell
Tuesday,26.03.2024,04:02:55,63.915,-21.99,5.8 km,1.3,99,4.8 km NE of Krýsuvík
Tuesday,26.03.2024,04:04:22,63.915,-22.001,5.7 km,0.4,99,4.4 km NE of Krýsuvík
Tuesday,26.03.2024,04:05:30,63.92,-21.988,4.7 km,0.8,99,5.2 km NE of Krýsuvík
Tuesday,26.03.2024,04:08:07,63.915,-22,6.1 km,0.6,99,4.5 km NE of Krýsuvík
Tuesday,26.03.2024,04:10:56,63.917,-21.987,5.4 km,1.2,99,5.1 km NE of Krýsuvík
Tuesday,26.03.2024,04:17:30,63.914,-21.998,6.4 km,0.7,99,4.4 km NE of Krýsuvík
Tuesday,26.03.2024,04:17:52,63.917,-21.99,5.6 km,1.1,99,5.0 km NE of Krýsuvík
Tuesday,26.03.2024,04:37:33,63.914,-22.003,5.7 km,0.5,99,4.2 km NE of Krýsuvík
Tuesday,26.03.2024,04:58:30,63.917,-21.992,5.1 km,0.6,99,4.9 km NE of Krýsuvík
Tuesday,26.03.2024,05:08:15,63.913,-22.003,6.0 km,0.5,99,4.2 km NE of Krýsuvík
Tuesday,26.03.2024,05:12:26,63.909,-22.005,6.5 km,0.6,99,3.8 km NE of Krýsuvík
Tuesday,26.03.2024,07:10:54,63.885,-22.308,6.7 km,0.7,99,2.5 km SW of Fagradalsfjall
Tuesday,26.03.2024,11:17:28,63.938,-21.978,4.9 km,1.6,99,7.0 km NE of Krýsuvík
Tuesday,26.03.2024,12:27:47,63.846,-22.469,4.6 km,1.2,99,1.5 km WNW of Grindavík
Tuesday,26.03.2024,15:06:31,63.916,-21.991,5.5 km,1.5,99,4.8 km NE of Krýsuvík
Tuesday,26.03.2024,15:59:41,63.837,-22.471,0.1 km,0.5,99,1.4 km W of Grindavík
Tuesday,26.03.2024,16:39:58,63.891,-22.299,8.1 km,0.8,99,1.8 km SW of Fagradalsfjall
